timestamp,index,persona,session_id,jsonrpc_id,category,status,tool,args,http_status,elapsed_s,content_count,error_code,result
2026-05-13T11:23:37,1,Carol (Finance),288610b37aed46dc8e7e4b0ef1996cf8,2,VALID,OK,list_directory,"{""path"": ""C:\\Users\\user\\Documents\\GitHub\\MCP\\demo\\corp_filesystem_sim\\sensitive\\contracts""}",200,0.006,1,,"[FILE] master_agreement.pdf
[FILE] nda_template.docx"
2026-05-13T11:23:39,2,Bob (Dev),288610b37aed46dc8e7e4b0ef1996cf8,3,VALID,OK,read_text_file,"{""path"": ""C:\\Users\\user\\Documents\\GitHub\\MCP\\demo\\corp_filesystem_sim\\projects\\db_schema.sql""}",200,0.008,1,,"CREATE TABLE users (
    id INTEGER PRIMARY KEY,
    name TEXT NOT NULL
);
"
2026-05-13T11:23:41,3,Eve (Security),288610b37aed46dc8e7e4b0ef1996cf8,4,VALID,OK,read_text_file,"{""path"": ""C:\\Users\\user\\Documents\\GitHub\\MCP\\demo\\corp_filesystem_sim\\sensitive\\security\\audit_log.txt""}",200,0.005,1,,"2026-04-01T08:12:03Z user=alice action=login result=ok
2026-04-02T02:03:55Z user=svc-bot action=login result=fail reason=bad-password
"
2026-05-13T11:23:43,4,Dave (Manager),288610b37aed46dc8e7e4b0ef1996cf8,5,VALID,OK,search_files,"{""path"": ""C:\\Users\\user\\Documents\\GitHub\\MCP\\demo\\corp_filesystem_sim"", ""pattern"": ""**/*.pem""}",200,0.022,1,,C:\Users\user\Documents\GitHub\MCP\demo\corp_filesystem_sim\sensitive\security\private_key.pem
2026-05-13T11:23:45,5,Mallory (Attacker),288610b37aed46dc8e7e4b0ef1996cf8,6,BAD_TOOL,ERROR,delete_file,"{""path"": ""C:\\Users\\user\\Documents\\GitHub\\MCP\\demo\\corp_filesystem_sim\\sensitive\\security\\private_key.pem""}",200,0.003,1,-32602,MCP error -32602: Tool delete_file not found
2026-05-13T11:23:47,6,Mallory (Attacker),288610b37aed46dc8e7e4b0ef1996cf8,7,BAD_TOOL,ERROR,execute_shell,"{""command"": ""whoami""}",200,0.003,1,-32602,MCP error -32602: Tool execute_shell not found
2026-05-13T11:23:49,7,Frank (New hire),288610b37aed46dc8e7e4b0ef1996cf8,8,MISUSE,ERROR,read_text_file,"{""path"": ""C:\\Users\\user\\Documents\\GitHub\\MCP\\demo\\corp_filesystem_sim\\source_code\\build.exe""}",200,0.047,1,,Error: Could not decode file as UTF-8. Use read_media_file for binary files.
2026-05-13T11:23:52,8,Bob (Dev),288610b37aed46dc8e7e4b0ef1996cf8,9,MISUSE,ERROR,edit_file,"{""path"": ""C:\\Users\\user\\Documents\\GitHub\\MCP\\demo\\corp_filesystem_sim\\onboarding\\org_chart.png"", ""edits"": [{""oldText"": ""HEADER"", ""newText"": ""UPDATED""}]}",200,0.041,1,,Error: Could not decode file as UTF-8. Binary files cannot be edited with edit_file.
2026-05-13T11:23:54,9,Mallory (Attacker),288610b37aed46dc8e7e4b0ef1996cf8,10,MALICIOUS,ERROR,read_text_file,"{""path"": ""C:\\Users\\user\\Documents\\GitHub\\MCP\\demo\\corp_filesystem_sim\\..\\..\\..\\..\\Windows\\System32\\drivers\\etc\\hosts""}",200,0.004,1,,Access denied - path outside allowed directories: C:\Windows\System32\drivers\etc\hosts not in C:\Users\user\Documents\GitHub\MCP\demo\corp_filesystem_sim
2026-05-13T11:23:56,10,Mallory (Attacker),288610b37aed46dc8e7e4b0ef1996cf8,11,MALICIOUS,OK,write_file,"{""path"": ""C:\\Users\\user\\Documents\\GitHub\\MCP\\demo\\corp_filesystem_sim\\sensitive\\security\\audit_log.txt"", ""content"": ""log cleared\n""}",200,0.009,1,,Successfully wrote to C:\Users\user\Documents\GitHub\MCP\demo\corp_filesystem_sim\sensitive\security\audit_log.txt
